id,link,name,status,lat,lng,year,first,area,population
260,Семёновка (Верхнехавский район),Семеновка,Село,51.90556,40.04694,,,,352
261,Семёновка 1-я,Семёновка 1-я,Деревня,51.77972,39.82639,,,,1
262,Семёновка 2-я,Семёновка 2-я,Деревня,51.78306,39.79722,,,,7
263,Синицино (Воронежская область),Синицино,Посёлок,51.82444,40.20111,,,,1
264,Спасское (Верхнехавский район),Спасское,Село,51.82778,39.77389,,,,16
265,Степановка (Верхнехавский район),Степановка,Посёлок,51.8225,40.3025,,,,11
266,Сухие Гаи,Сухие Гаи,Село,51.7745639,39.8829028,,,,381
267,Таловая (Верхнехавский район),Таловая,Деревня,51.8055417,39.9237583,,,,104
268,Троицкий (Верхнехавский район),Троицкий,Посёлок,51.85083,39.7875,,,,15
269,Углянец,Углянец,Село,51.81667,39.6,1617,,,3658
270,Фоминичи (Воронежская область),Фоминичи,Посёлок,51.79083,40.15694,,,,38
271,Хлопотное,Хлопотное,Посёлок,51.7604,39.7905389,,,,14
272,Черняхи,Черняхи,Посёлок,51.85667,39.97444,,,,0
273,Шукавка (Верхнехавский район),Шукавка,Посёлок,51.88194,40.185,,,,593
274,Эртель (хутор),Эртель,Хутор,51.8521083,39.70265,,,,18
275,Банное (Воронежская область),Банное,Село,50.815,41.18528,1735,,,76
276,Берёзовка (Воробьёвский район),Березовка,Село,50.7091583,40.979611,1730,,,410
277,Верхнетолучеево,Верхнетолучеево,Село,50.7544806,41.0345417,,,,70
278,Верхний Бык,Верхний Бык,Село,50.7275,41.23917,1790,,,48
279,Воробьёвка (Воронежская область),Воробьёвка,Село,50.64417,40.94528,1730,,,800 челове
280,Высокое (Воробьёвский район),Высокое,Посёлок,50.79111,41.15944,,,,6
281,Горюшкин (хутор),Горюшкин,Хутор,50.5669056,41.0767639,,,,4
282,Елизаветовка (Воробьёвский район),Елизаветовка,Село,50.7533917,40.9188417,,,,79
283,Затон (Воронежская область),Затон,Село,50.6559361,40.7334472,1960-х,середина 18 века,,32
284,Землянка (Воронежская область),Землянка,Хутор,50.82444,41.12806,1840-1850 годы,,,8
285,Каменка (Воробьёвский район),Каменка,Село,50.6199111,40.6555139,,,,7
286,Квашино (Воронежская область),Квашино,Село,50.64972,40.82306,конец 18 века,,,29
287,Краснополье (Воронежская область),Краснополье,Село,50.62167,41.28722,около 1790,,,40
288,Лещаное,Лещаное,Село,50.59611,40.88722,,,,1062
289,Луговской (Воронежская область),Луговской,Хутор,50.6590778,41.1488694,,,,
290,Мирный (Воронежская область),Мирный,Посёлок,50.69515,41.097425,неизвестно,,,37
291,Мужичье,Мужичье,Село,50.746639,41.0681889,1780,,,9
292,Нагольный (Воронежская область),Нагольный,Хутор,50.6514333,41.3805444,1907,1907,,34
293,Нижний Бык,Нижний Бык,Село,50.69944,41.17417,1790,,,71
294,Никольское 1-е (Воробьёвский район),Никольское 1-е,Село,50.5760944,41.1460944,1740,,,197
295,Никольское 2-е (Воробьёвский район),Никольское 2-е,Село,50.61556,41.14139,2001,,,517
296,Новотолучеево,Новотолучеево,Село,50.55417,40.97389,18 век,,,23
297,Первомайский (Воробьёвский район),Первомайский,Посёлок,50.6448389,40.8603972,1896,,,56
298,Посёлок 1-го отделения совхоза «Краснопольский»,1-го отделения совхоза «Краснопольский»,Посёлок,50.6220167,41.3801861,,1907,,68
299,Посёлок 2-го отделения совхоза «Краснопольский»,2-го отделения совхоза «Краснопольский»,Посёлок,50.64833,41.24444,,,,
300,Посёлок Центральной усадьбы совхоза Воробьёвский,Центральной усадьбы совхоза Воробьёвский,Посёлок,50.68806,40.82056,,,,180
301,Рудня (Воронежская область),Рудня,Село,50.5465,40.9609917,,,,
302,Солонцы (Воробьёвский район),Солонцы,Село,50.6190389,40.7022056,1844,,,8
303,Алексеевка (Грибановский район),Алексеевка,Село,51.60333,42.00389,,,,92
304,Бирючий (Воронежская область),Бирючий,Посёлок,51.45472,41.61611,,,,3
305,Большие Алабухи,Большие Алабухи,Село,51.57361,42.24972,,,,26
306,Васильевка (Грибановский район),Васильевка,Село,51.28917,41.735,,,,80
307,Верхний Затон,Верхний Затон,Посёлок,51.54556,42.23194,,,,8
308,Верхний Карачан,Верхний Карачан,Село,51.405,41.77111,,,,1977
309,Власовка (Воронежская область),Власовка,Село,51.56361,42.30444,,,,47
310,Грибановский (посёлок городского типа),Грибановский,Посёлок городского типа,51.45,41.96667,1703,,,14652
311,Дмитриевка (Грибановский район),Дмитриевка,Село,51.47306,41.6,,,,6
312,Дмитриевка 2-я,Дмитриевка 2-я,Посёлок,51.41333,41.86111,,,,0
313,Емельяновка (Воронежская область),Емельяновка,Посёлок,51.49306,41.78306,,,,5
314,Калиново (Грибановский район),Калиново,Село,51.43167,41.59556,,,,39
315,Кирсановка (Воронежская область),Кирсановка,Село,51.45333,41.78833,,,,12
316,Красная Заря (Воронежская область),Красная Заря,Посёлок,51.55694,42.09056,,,,8
317,Краснореченка,Краснореченка,Село,51.37694,41.27167,,,,287
318,Красовка (Воронежская область),Красовка,Деревня,51.43806,41.49556,,,,48
319,Кутки (Воронежская область),Кутки,Село,51.33806,41.54528,,,,70
320,Лавровка (Воронежская область),Лавровка,Село,51.39056,41.52556,,,,42
321,Листопадовка (Воронежская область),Листопадовка,Село,51.41583,41.43833,,,,286
322,Малая Грибановка,Малая Грибановка,Село,51.50972,42.07583,1703,,,28
323,Малые Алабухи 1-е,Малые Алабухи 1-е,Село,51.54806,42.16111,,,,74
324,Малые Алабухи 2-е,Малые Алабухи 2-е,Село,51.56,42.19,,,,57
325,Маяк (Воронежская область),Маяк,Посёлок,51.34833,41.82444,,,,
326,Межевихин,Межевихин,Посёлок,51.57778,41.98861,,,,1
327,Нижний Карачан,Нижний Карачан,Село,51.34861,41.77333,,,,908
328,Новая Жизнь (Грибановский район),Новая Жизнь,Посёлок,51.42306,41.21444,,,,4
329,Новогольелань,Новогольелань,Село,51.51028,41.25778,,,,39
330,Новогольское,Новогольское,Село,51.4875,41.46222,,,,9
